Bib,Name,Country,Gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Gender Qualifier Rank,Qualified
592,mateus van der hulst,Brazil,Male,M40-44,04:24:54,88,86,14,00:30:35,162,145,32,02:11:02,53,53,5,01:38:53,219,199,33,00:2:20,208,174,32,00:2:05,260,219,37,FIN,04:05:21,54,54,
280,BRUNO PINHEIRO MANZONI,Brazil,Male,M35-39,04:18:19,67,65,12,00:30:12,148,131,25,02:12:50,68,67,12,01:31:09,85,80,16,00:2:43,357,299,72,00:1:25,28,24,3,FIN,04:05:24,55,55,
344,ALTINO MACHADO D OLIVEIRA NETO,Brazil,Male,M35-39,04:18:45,68,66,13,00:28:51,87,76,11,02:13:05,72,71,13,01:32:33,98,91,24,00:2:13,162,134,31,00:2:04,251,211,54,FIN,04:05:48,56,56,
1292,Joao Paulo Sahb Estrela,Brazil,Male,M30-34,04:14:36,52,51,8,00:30:27,161,144,25,02:10:19,48,48,10,01:30:04,75,72,13,00:2:10,146,121,20,00:1:36,65,57,11,FIN,04:05:48,57,57,
858,Leandro Moreira,Brazil,Male,M45-49,04:34:26,148,137,17,00:31:29,216,191,23,02:20:33,170,162,22,01:37:08,182,166,21,00:2:47,377,317,45,00:2:28,450,376,46,FIN,04:06:23,58,58,
1630,GUILHERME SA NASCIMENTO DE PAULA DONDICI,Brazil,Male,M35-39,04:19:36,70,68,14,00:28:40,80,71,9,02:08:58,35,35,4,01:36:45,176,161,40,00:2:42,355,297,71,00:2:31,486,405,104,FIN,04:06:37,59,59,
637,Leandro Monteiro Zein Sammour Esteves,Brazil,Male,M40-44,04:26:54,97,94,15,00:24:12,8,8,1,02:20:44,175,167,31,01:35:16,144,131,22,00:2:39,332,277,57,00:4:02,1097,891,199,FIN,04:07:12,60,60,
867,Rodrigo Davini,Brazil,Male,M45-49,04:35:40,156,145,18,00:33:02,305,270,34,02:23:42,226,212,30,01:35:18,145,132,12,00:1:48,59,46,4,00:1:51,132,114,12,FIN,04:07:29,61,61,
1573,Fabio Alexandre Pereira,Brazil,Male,M55-59,04:48:59,270,245,1,00:32:33,276,241,6,02:31:57,488,446,5,01:39:28,228,206,1,00:3:02,519,432,7,00:1:59,203,170,1,FIN,04:07:30,62,62,1
1315,Eduardo De Alencar Araripe Diniz,Brazil,Male,M30-34,04:16:25,58,56,9,00:27:23,51,47,8,02:12:57,69,68,12,01:32:36,100,92,18,00:1:34,40,28,3,00:1:55,169,143,29,FIN,04:07:34,63,63,
1183,Kaique Carneiro Rodrigues,Brazil,Male,M25-29,04:09:27,39,38,2,00:26:28,33,30,2,02:04:56,17,17,2,01:33:49,116,105,11,00:2:40,341,284,22,00:1:35,56,50,4,FIN,04:07:40,64,64,1
926,Thiago Teixeira Cardoso,Brazil,Male,M45-49,04:36:22,160,149,19,00:37:43,700,590,97,02:17:10,113,112,16,01:35:48,153,139,14,00:3:09,581,484,77,00:2:32,492,409,54,FIN,04:08:07,65,65,
860,Rodrigo Felipe,Brazil,Male,M45-49,04:36:28,161,150,20,00:44:04,1131,924,164,02:13:58,79,78,7,01:32:45,101,93,8,00:2:29,261,222,27,00:3:11,786,643,95,FIN,04:08:12,66,66,
1148,ALBERTO GOBBO DE OLIVEIRA,Brazil,Male,M25-29,04:10:08,40,39,3,00:26:53,41,37,3,02:14:48,88,87,6,01:24:52,34,33,3,00:2:03,116,94,6,00:1:32,43,38,2,FIN,04:08:21,67,67,1
1633,Marcelo Macintyre,Brazil,Male,M45-49,04:36:39,163,152,21,00:31:08,199,177,21,02:24:42,259,240,36,01:35:36,148,135,13,00:2:33,283,236,31,00:2:40,555,462,65,FIN,04:08:22,68,68,
1576,Felipe Santos,Brazil,Male,M55-59,04:50:12,290,260,2,00:30:23,159,142,2,02:30:11,422,387,3,01:45:07,354,310,2,00:2:17,186,155,2,00:2:14,330,276,3,FIN,04:08:33,69,69,
293,PEDRO OLIVEIRA CAMARA DA FE,Brazil,Male,M35-39,04:21:51,74,72,15,00:29:19,105,91,16,02:15:23,95,94,20,01:31:52,92,86,21,00:2:40,342,285,69,00:2:37,536,446,111,FIN,04:08:45,70,70,
148,PHILLIP GALDINO DA SILVA,Brazil,Male,M35-39,04:22:07,75,73,16,00:32:53,297,262,51,02:08:58,36,36,5,01:36:57,179,163,41,00:1:45,53,40,5,00:1:35,58,51,9,FIN,04:09:00,71,71,
740,LEANDRO DE CARVALHO PINTO,Brazil,Male,M40-44,04:29:28,112,108,16,00:29:24,109,95,16,02:20:34,172,164,30,01:35:45,152,138,24,00:1:53,74,59,7,00:1:51,137,116,19,FIN,04:09:34,72,72,
285,Leonardo Martelli,Brazil,Male,M35-39,04:23:01,79,77,17,00:32:12,254,220,44,02:08:44,34,34,3,01:38:02,198,180,45,00:2:13,163,135,32,00:1:49,124,107,27,FIN,04:09:51,73,73,
121,WILSON WADHY MIGUEL REBEHY NETO,Brazil,Male,M35-39,04:23:53,82,80,18,00:34:05,382,335,68,02:18:29,132,126,30,01:26:29,44,43,7,00:3:01,508,425,92,00:1:49,125,108,28,FIN,04:10:41,74,74,
551,RAFAEL MARSICANO CEZAR VIEIRA,Brazil,Male,M40-44,04:30:41,118,113,17,00:42:13,1017,849,180,02:14:04,80,79,16,01:29:38,72,70,11,00:3:12,602,499,114,00:1:34,48,42,4,FIN,04:10:42,75,75,
836,Laudson Silva,Brazil,Male,M45-49,04:40:11,186,170,22,00:33:47,358,314,44,02:25:21,278,259,41,01:36:21,164,149,17,00:2:50,408,345,50,00:1:52,139,118,13,FIN,04:11:32,76,76,
859,RAFAEL PEREIRA RIBEIRO,Brazil,Male,M45-49,04:40:16,187,171,23,00:31:54,242,211,27,02:21:22,184,176,25,01:42:33,304,268,38,00:2:37,309,255,34,00:1:50,128,110,10,FIN,04:11:37,77,77,
1119,GIOVANNI POPIOLEK SASSE,Brazil,Male,M18-24,04:11:44,45,44,1,00:28:49,83,73,3,02:10:46,51,51,2,01:28:52,66,64,3,00:1:54,77,62,2,00:1:23,23,20,2,FIN,04:11:44,78,78,1
136,Filipe Clementino Gomes,Brazil,Male,M35-39,04:25:06,91,89,19,00:31:22,211,187,38,02:23:35,222,208,52,01:25:47,41,40,5,00:2:08,142,118,28,00:2:14,335,281,75,FIN,04:11:50,79,79,
1550,Raimundo Cavalcanti Terceiro,Brazil,Male,M50-54,04:45:42,236,214,4,00:36:17,556,478,23,02:28:16,373,344,16,01:36:26,169,154,4,00:2:27,247,209,5,00:2:17,350,295,8,FIN,04:12:21,80,80,
272,Ericson Vinicius Costa Maia,Brazil,Male,M35-39,04:25:49,95,92,20,00:26:50,39,35,3,02:21:39,187,179,46,01:32:22,95,88,22,00:3:20,673,550,114,00:1:38,68,59,12,FIN,04:12:31,81,81,
1118,Joao Vitor Rossi Alvarenga,Brazil,Male,M18-24,04:12:50,48,47,2,00:30:40,167,150,7,02:14:52,89,88,3,01:24:09,32,31,1,00:1:49,64,51,1,00:1:20,21,18,1,FIN,04:12:50,82,82,
798,Michele Vita,Brazil,Male,M45-49,04:41:37,201,182,24,00:34:46,437,379,58,02:25:30,286,267,42,01:36:19,162,147,16,00:2:16,180,149,18,00:2:47,614,508,80,FIN,04:12:50,83,83,
745,Vinicius Pugsley,Brazil,Male,M40-44,04:32:59,136,127,18,00:36:04,544,467,107,02:15:28,96,95,18,01:36:30,170,155,26,00:1:54,75,60,8,00:3:02,722,597,130,FIN,04:12:50,84,84,
1181,Matheus Yure De Paiva Lopes,Brazil,Male,M25-29,04:14:39,53,52,4,00:28:59,91,80,9,02:08:36,33,33,3,01:33:13,109,98,9,00:1:47,58,45,2,00:2:05,257,216,27,FIN,04:12:50,85,85,
720,Bruno Cesar Rabelo Rodrigues,Brazil,Male,M40-44,04:33:05,138,129,19,00:32:33,272,238,55,02:16:22,104,103,19,01:40:08,246,223,37,00:2:05,123,101,16,00:1:57,177,149,25,FIN,04:12:55,86,86,
1505,Marco Aurélio Hollanda,Brazil,Male,M50-54,04:46:44,248,225,5,00:36:04,545,468,22,02:26:47,329,307,13,01:38:46,214,194,6,00:2:47,383,321,10,00:2:20,374,315,9,FIN,04:13:16,87,87,
546,Andre Gewehr,Brazil,Male,M40-44,04:34:05,145,134,20,00:32:34,279,244,58,02:23:08,214,202,40,01:33:43,114,103,14,00:3:00,492,413,94,00:1:40,81,72,8,FIN,04:13:51,88,88,
1344,ALLAN BENJAMIM,Brazil,Male,M30-34,04:22:58,78,76,10,00:30:51,181,162,28,02:22:50,208,196,28,01:25:07,36,35,5,00:2:20,207,173,30,00:1:50,130,112,22,FIN,04:13:53,89,89,
716,Thiago Tebet,Brazil,Male,M40-44,04:34:08,146,135,21,00:30:42,169,152,33,02:21:18,181,173,34,01:37:02,180,164,28,00:2:55,454,383,88,00:2:11,308,260,47,FIN,04:13:54,90,90,
270,Paulo Mendes,Brazil,Male,M35-39,04:27:19,100,97,21,00:31:25,214,190,40,02:20:41,174,166,43,01:31:28,88,82,18,00:1:51,69,54,9,00:1:54,156,131,33,FIN,04:13:57,91,91,
